OrderID,CurrentClinicName1,CurrentClinicName2,CurrentClinicCity,CurrentClinicState,MedicalDirector,ND_NumIntentRet1,ND_NumIntentRet2,ND_NumIntentRet3,ND_NumIntentRet4,ND_IntentRetLB1,ND_IntentRetLB2,ND_IntentRetLB3,ND_IntentRetLB4,ND_IntentRetSingleLB1,ND_IntentRetSingleLB2,ND_IntentRetSingleLB3,ND_IntentRetSingleLB4,ND_NumRetrieve1,ND_NumRetrieve2,ND_NumRetrieve3,ND_NumRetrieve4,ND_RetrieveLB1,ND_RetrieveLB2,ND_RetrieveLB3,ND_RetrieveLB4,ND_RetrieveSingleLB1,ND_RetrieveSingleLB2,ND_RetrieveSingleLB3,ND_RetrieveSingleLB4,ND_NumTrans1,ND_NumTrans2,ND_NumTrans3,ND_NumTrans4,ND_TransLB1,ND_TransLB2,ND_TransLB3,ND_TransLB4,ND_TransSingleLB1,ND_TransSingleLB2,ND_TransSingleLB3,ND_TransSingleLB4,ND_IntentRetPerLB1,ND_IntentRetPerLB2,ND_IntentRetPerLB3,ND_IntentRetPerLB4,NewND_1IntentRetLB1,NewND_1IntentRetLB2,NewND_1IntentRetLB3,NewND_1IntentRetLB4,NewND_2IntentRetLB1,NewND_2IntentRetLB2,NewND_2IntentRetLB3,NewND_2IntentRetLB4,NewND_AllIntentRetLB1,NewND_AllIntentRetLB2,NewND_AllIntentRetLB3,NewND_AllIntentRetLB4,NewND_IntentRetPerNew1,NewND_IntentRetPerNew2,NewND_IntentRetPerNew3,NewND_IntentRetPerNew4,NewND_TransPerIntentRet1,NewND_TransPerIntentRet2,NewND_TransPerIntentRet3,NewND_TransPerIntentRet4,Donor_NumTrans1,Donor_NumTrans2,Donor_NumTrans3,Donor_NumTrans4,Donor_TransLB1,Donor_TransLB2,Donor_TransLB3,Donor_TransLB4,Donor_TranSingleLB1,Donor_TranSingleLB2,Donor_TranSingleLB3,Donor_TranSingleLB4,TotNumCycles1,TotNumCycles2,TotNumCycles3,TotNumCycles4,TotNumCyclesAll,CycleCancel1,CycleCancel2,CycleCancel3,CycleCancel4,CycleCancelAll,CycleStop1,CycleStop2,CycleStop3,CycleStop4,CycleStopAll,CycleFertPres1,CycleFertPres2,CycleFertPres3,CycleFertPres4,CycleFertPresAll,TransCarrier1,TransCarrier2,TransCarrier3,TransCarrier4,TransCarrierAll,TransFrozEmb1,TransFrozEmb2,TransFrozEmb3,TransFrozEmb4,TransFrozEmbAll,TransICSI1,TransICSI2,TransICSI3,TransICSI4,TransICSIAll,TransPGT1,TransPGT2,TransPGT3,TransPGT4,TransPGTAll,ReasonMale,ReasonEndo,ReasonTubal,ReasonOvul,ReasonUterine,ReasonPGT,ReasonCarrier,ReasonDOR,ReasonBank,ReasonPregLoss,ReasonOtherInfert,ReasonNonInfert,ReasonUnexplained,DonorEggService,DonatedEmbryoService,EmbryoCryoService,EggCryoService,GestCarrierService,SARTmember,LabAccred,NumResearch,CurrentStateAbbrev,gcode,point,lat,lon
251,NJ BEST OB/GYN,,CLIFTON,NEW JERSEY,"Fares Diarbakerli, MD",*,*,*,*,* / *,0 / *,0 / *,0 / *,* / *,0 / *,0 / *,0 / *,*,*,*,*,* / *,0 / *,0 / *,0 / *,* / *,0 / *,0 / *,0 / *,*,*,*,0,* / *,0 / *,0 / *,,* / *,0 / *,0 / *,,2,,,,* / *,0 / *,0 / *,0 / *,* / *,0 / *,0 / *,0 / *,* / *,0 / *,0 / *,0 / *,1,1,1.5,1,1.5,1,0.7,0,0,0,0,*,,,,* / *,,,,* / *,8,*,*,6,17,0 / *,,0 / *,0 / *,0 / 9,* / 8,0 / *,* / *,* / 6,17-May,0 / 8,0 / *,0 / *,0 / 6,0 / 17,0 / 6,0 / *,0 / *,0 / *,0 / 12,* / 6,* / *,0 / *,* / *,12-Jul,6-Jun,* / *,* / *,* / *,12-Dec,* / 6,0 / *,0 / *,0 / *,* / 12,* / 17,* / 17,* / 17,0 / 17,0 / 17,* / 17,0 / 17,17-Jul,0 / 17,0 / 17,0 / 17,0 / 17,* / 17,Yes,No,Yes,Yes,Yes,No,Yes,0,NJ,"Clifton, Passaic County, New Jersey, United States","(40.8584328, -74.1637553, 0.0)",40.8584328,-74.1637553
252,REPRODUCTIVE SCIENCE CENTER OF NEW JERSEY,,EATONTOWN,NEW JERSEY,"William Ziegler, DO",93,55,39,21,0.495,40.00%,25.60%,0.00%,0.462,38.20%,23.10%,0.00%,86,55,32,16,53.50%,40.00%,31.30%,0 / 16,50.00%,38.20%,28.10%,0 / 16,116,59,33,7,39.70%,37.30%,30.30%,0 / 7,37.10%,35.60%,27.30%,0 / 7,2,2.5,3.9,,55.10%,40.60%,30.80%,0 / 11,62.30%,46.90%,34.60%,0 / 11,62.30%,46.90%,34.60%,0 / 11,1.2,1.2,1.3,1.3,1.3,1.2,0.8,0.4,*,12,7,0,* / *,* / 12,* / 7,,* / *,* / 12,* / 7,,231,123,93,50,497,2.40%,4.20%,6.90%,23.30%,6.00%,14.00%,16.70%,18.00%,27.90%,16.70%,1.70%,4.10%,2.20%,0.00%,2.20%,0.00%,0.00%,0.00%,3.60%,0.30%,62.00%,70.60%,64.00%,35.70%,61.80%,0.638,52.90%,56.00%,60.70%,59.90%,0.221,35.30%,42.00%,14.30%,27.50%,54%,4%,19%,0.25,1%,2%,0%,0.4,19%,2%,5%,1%,3%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NJ,"Eatontown, Monmouth County, New Jersey, 07724, United States","(40.2962222, -74.0509725, 0.0)",40.2962222,-74.0509725
253,CENTER FOR ADVANCED REPRODUCTIVE MEDICINE & FERTILITY,,EDISON,NEW JERSEY,"Gregory H. Corsan, MD",81,36,53,34,0.481,27.80%,22.60%,11.80%,0.457,27.80%,22.60%,11.80%,78,33,44,28,50.00%,30.30%,27.30%,14.30%,47.40%,30.30%,27.30%,14.30%,77,31,29,8,50.60%,32.30%,41.40%,* / 8,48.10%,32.30%,41.40%,* / 8,2.1,3.6,4.4,8.5,50.80%,36.00%,23.10%,* / 19,55.60%,36.00%,30.80%,* / 19,55.60%,36.00%,30.80%,* / 19,1.1,1.1,1.3,1.1,1,0.9,0.5,0.3,0,*,20,6,,0 / *,40.00%,* / 6,,0 / *,40.00%,* / 6,152,80,70,67,369,10.80%,6.10%,15.00%,0.00%,9.20%,4.10%,9.00%,17.20%,20.90%,10.70%,0.70%,0.00%,1.40%,0.00%,0.50%,1.20%,0.00%,0.00%,20.00%,3.80%,98.80%,97.70%,100.00%,100.00%,98.90%,0.702,62.80%,57.10%,56.70%,64.30%,0.714,76.70%,60.70%,63.30%,69.70%,33%,4%,11%,0.23,0%,2%,1%,0.31,37%,1%,7%,1%,9%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NJ,"Edison, Middlesex County, New Jersey, United States","(40.5382375, -74.39451734508772, 0.0)",40.5382375,-74.39451735
254,WOMEN'S FERTILITY CENTER,,ENGLEWOOD,NEW JERSEY,"Philip R. Lesorgen, MD",10,5,8,16,10-May,* / 5,0 / 8,0 / 16,* / 10,0 / 5,0 / 8,0 / 16,9,*,7,12,9-May,* / *,0 / 7,0 / 12,* / 9,0 / *,0 / 7,0 / 12,8,*,5,10,8-May,* / *,0 / 5,0 / 10,* / 8,0 / *,0 / 5,0 / 10,2,5,,,* / 6,* / 5,0 / *,0 / *,6-May,* / 5,0 / *,0 / *,6-May,* / 5,0 / *,0 / *,1.3,1,1,1.3,0.8,0.2,0,0.8,0,0,0,0,,,,,,,,,7,5,12,8,32,0 / 6,0 / *,* / 10,* / 8,10.70%,* / 7,* / 5,* / 10,* / 7,37.90%,* / 7,0 / 5,0 / 12,* / 8,6.30%,0 / 5,0 / *,0 / 8,0 / *,0 / 16,0 / 5,0 / *,* / 8,0 / *,* / 16,5-May,* / *,8-Aug,* / *,16 / 16,* / 5,* / *,* / 8,0 / *,* / 16,25%,0%,16%,0,0%,25%,0%,0.28,6%,6%,3%,9%,3%,No,No,Yes,Yes,No,No,Yes,0,NJ,"Englewood, Bergen County, New Jersey, 07361, United States","(40.8928771, -73.9726381, 0.0)",40.8928771,-73.9726381
255,NORTH HUDSON IVF,CENTER FOR FERTILITY AND GYNECOLOGY,ENGLEWOOD CLIFFS,NEW JERSEY,"Jane E. Miller, MD",6,*,*,*,0 / 6,0 / *,0 / *,0 / *,0 / 6,0 / *,0 / *,0 / *,6,*,*,0,0 / 6,0 / *,0 / *,,0 / 6,0 / *,0 / *,,*,0,*,0,0 / *,,0 / *,,0 / *,,0 / *,,,,,,0 / *,0 / *,,,0 / *,0 / *,,,0 / *,0 / *,,,1.3,3,,,0.5,0,,,0,0,5,0,,,* / 5,,,,* / 5,,12,12,*,10,38,0 / 6,0 / 10,0 / *,* / 6,3.80%,0 / 12,* / 12,0 / *,0 / 9,2.70%,0 / 12,0 / 12,0 / *,0 / 10,0.00%,0 / 6,0 / *,,0 / *,0 / 11,6-Jun,* / *,,* / *,11-Nov,6-Jun,* / *,,* / *,11-Nov,6-Jun,* / *,,* / *,11-Nov,18%,13%,5%,0,8%,79%,0%,0.42,79%,18%,3%,0%,0%,Yes,No,Yes,Yes,Yes,No,No,0,NJ,"Englewood Cliffs, Bergen County, New Jersey, 07632, United States","(40.8853773, -73.9523597, 0.0)",40.8853773,-73.9523597
256,"UNIVERSITY REPRODUCTIVE ASSOCIATES, PC",,HASBROUCK HEIGHTS,NEW JERSEY,"Peter G. McGovern, MD",135,62,69,84,0.289,22.60%,13.00%,7.10%,0.252,17.70%,10.10%,7.10%,131,61,67,78,29.80%,23.00%,13.40%,7.70%,26.00%,18.00%,10.40%,7.70%,138,55,49,36,28.30%,25.50%,18.40%,16.70%,24.60%,20.00%,14.30%,16.70%,3.5,4.4,7.7,14,30.70%,20.60%,2.70%,14.00%,37.50%,23.50%,13.50%,14.00%,38.60%,23.50%,13.50%,14.00%,1.3,1.1,1.3,1.5,1.1,0.9,0.8,0.4,*,10,25,*,* / *,* / 10,28.00%,* / *,* / *,* / 10,28.00%,* / *,200,170,161,172,703,0.00%,1.00%,0.90%,11.10%,3.40%,5.50%,8.90%,14.40%,21.40%,12.10%,7.50%,8.20%,5.00%,1.20%,5.50%,1.50%,2.20%,0.00%,2.30%,1.60%,62.30%,74.40%,66.70%,55.20%,64.40%,0.815,84.40%,85.30%,70.10%,80.40%,0.469,55.60%,50.70%,34.50%,46.90%,43%,2%,14%,0.09,5%,1%,1%,0.37,37%,11%,3%,1%,9%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,NJ,"Hasbrouck Heights, Bergen County, New Jersey, 07604, United States","(40.8579293, -74.0816693, 0.0)",40.8579293,-74.0816693
257,SHORE INSTITUTE FOR REPRODUCTIVE MEDICINE DBA,MORGAN FERTILITY AND REPRODUCTIVE MEDICINE,LAKEWOOD,NEW JERSEY,"Allen Morgan, MD",64,53,30,18,0.25,18.90%,16.70%,0 / 18,0.25,18.90%,16.70%,0 / 18,55,39,21,13,29.10%,25.60%,23.80%,0 / 13,29.10%,25.60%,23.80%,0 / 13,61,40,16,10,26.20%,25.00%,16-May,0 / 10,26.20%,25.00%,16-May,0 / 10,4,5.3,6,,26.20%,* / 14,* / 12,0 / 10,28.60%,14-May,* / 12,0 / 10,28.60%,14-May,* / 12,0 / 10,1.3,1.4,1.7,1.2,0.9,0.9,0.5,0.8,0,0,5,0,,,* / 5,,,,* / 5,,91,47,28,33,199,11.90%,33.30%,* / 14,* / 19,19.60%,15.10%,7.90%,12.00%,26.70%,15.10%,1.10%,2.10%,0.00%,0.00%,1.00%,1.80%,0.00%,0 / 16,* / 15,2.70%,78.20%,76.00%,14 / 16,15-Nov,78.40%,0.218,24.00%,* / 16,* / 15,20.70%,0.273,44.00%,16-May,* / 15,30.60%,19%,6%,15%,0.15,4%,3%,1%,0.08,21%,3%,4%,2%,33%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NJ,"Lakewood, Ocean County, New Jersey, 08701, United States","(40.092024, -74.21219645621468, 0.0)",40.092024,-74.21219646
258,INSTITUTE FOR REPRODUCTIVE MEDICINE AND SCIENCE,SAINT BARNABAS MEDICAL CENTER,LIVINGSTON,NEW JERSEY,"Margaret G. Garrisi, MD",287,225,221,184,0.502,35.60%,19.50%,6.50%,0.477,34.20%,18.10%,6.50%,282,206,180,136,51.10%,38.80%,23.90%,8.80%,48.60%,37.40%,22.20%,8.80%,280,199,123,71,51.40%,40.20%,35.00%,16.90%,48.90%,38.70%,32.50%,16.90%,2,2.8,5.1,15.3,55.40%,40.00%,25.30%,8.30%,59.60%,48.50%,31.30%,9.70%,60.10%,50.80%,31.30%,9.70%,1.2,1.4,1.5,1.5,1,0.9,0.6,0.4,0,26,77,0,,26.90%,46.80%,,,26.90%,46.80%,,646,431,448,415,1940,3.80%,9.50%,14.40%,21.50%,11.60%,5.10%,5.60%,6.60%,13.40%,7.20%,5.60%,7.40%,5.60%,2.70%,5.40%,1.60%,0.80%,4.10%,1.50%,1.90%,73.00%,77.50%,75.00%,63.10%,72.60%,0.868,89.60%,87.70%,82.30%,86.80%,0.492,58.80%,59.50%,45.50%,52.90%,21%,7%,9%,0.24,7%,2%,<1%,0.27,34%,7%,3%,1%,17%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,NJ,"Livingston, Essex County, New Jersey, 07039, United States","(40.7959335, -74.3148713, 0.0)",40.7959335,-74.3148713
259,DELAWARE VALLEY INSTITUTE OF FERTILITY AND GENETICS,,MARLTON,NEW JERSEY,"George S. Taliadouros, MD",27,11,8,14,0.444,* / 11,* / 8,* / 14,0.444,* / 11,* / 8,* / 14,23,10,6,10,52.20%,* / 10,* / 6,* / 10,52.20%,* / 10,* / 6,* / 10,35,8,*,9,34.30%,* / 8,* / *,* / 9,34.30%,* / 8,* / *,* / 9,2.3,2.8,4,4.7,17-Sep,* / 7,0 / 5,* / 8,17-Oct,* / 7,0 / 5,* / 8,17-Oct,* / 7,0 / 5,* / 8,1.2,1,1.2,1.1,1.5,0.7,0.3,0.8,*,0,*,*,0 / *,,* / *,0 / *,0 / *,,* / *,0 / *,55,30,16,17,118,14.30%,0 / 15,* / 9,* / 10,11.30%,2.00%,0.00%,* / 15,0 / 15,2.70%,0.00%,3.30%,0 / 16,0 / 17,0.80%,0.00%,0.00%,* / 13,0 / 12,1.00%,57.80%,57.70%,13-Jul,12-Jul,57.30%,0.267,50.00%,0 / 13,* / 12,30.20%,0.022,3.80%,0 / 13,* / 12,4.20%,25%,4%,15%,0.49,4%,0%,0%,0.13,11%,0%,8%,3%,2%,Yes,Yes,Yes,Yes,Yes,Yes,Pending,0,NJ,"Marlton, Evesham Township, Burlington County, New Jersey, United States","(39.9005585, -74.93389105589023, 0.0)",39.9005585,-74.93389106
260,SOUTH JERSEY FERTILITY CENTER,,MARLTON,NEW JERSEY,"Peter G. Van Deerlin, MD",145,63,91,47,0.448,42.90%,20.90%,10.60%,0.421,31.70%,20.90%,10.60%,140,59,84,35,46.40%,45.80%,22.60%,14.30%,43.60%,33.90%,22.60%,14.30%,150,50,55,21,43.30%,54.00%,34.50%,23.80%,40.70%,40.00%,34.50%,23.80%,2.2,2.3,4.8,9.4,50.50%,47.60%,23.90%,0 / 19,55.60%,52.40%,28.30%,* / 19,55.60%,54.80%,30.40%,* / 19,1.1,1.2,1.5,1.3,1.1,0.9,0.6,0.4,10,11,34,27,10-May,* / 11,47.10%,48.10%,10-May,* / 11,35.30%,48.10%,349,202,149,148,848,4.50%,6.60%,14.30%,11.60%,7.80%,16.70%,16.40%,21.60%,18.60%,17.80%,0.60%,2.50%,2.00%,7.40%,2.50%,1.10%,0.00%,0.00%,0.00%,0.40%,88.30%,83.00%,81.30%,65.90%,81.40%,0.642,50.90%,43.80%,34.10%,51.50%,0.436,47.20%,50.00%,18.70%,40.60%,27%,6%,15%,0.2,8%,46%,<1%,0.21,34%,17%,49%,<1%,4%,Yes,Yes,Yes,Yes,Yes,Yes,Pending,0,NJ,"Marlton, Evesham Township, Burlington County, New Jersey, United States","(39.9005585, -74.93389105589023, 0.0)",39.9005585,-74.93389106
261,DIAMOND INSTITUTE FOR INFERTILITY & MENOPAUSE,,MILLBURN,NEW JERSEY,"Matan Yemini, MD",63,46,36,24,0.46,19.60%,22.20%,4.20%,0.381,19.60%,19.40%,4.20%,61,38,33,20,47.50%,23.70%,24.20%,5.00%,39.30%,23.70%,21.20%,5.00%,77,34,27,11,37.70%,26.50%,29.60%,* / 11,31.20%,26.50%,25.90%,* / 11,2.2,5.1,4.5,24,44.70%,28.60%,* / 13,* / 10,51.10%,28.60%,* / 13,* / 10,51.10%,28.60%,* / 13,* / 10,1.2,1.2,1.2,1.2,1.2,0.9,0.9,0.6,0,0,30,8,,,30.00%,* / 8,,,16.70%,* / 8,115,75,81,114,385,3.80%,6.10%,20.70%,14.80%,12.20%,8.80%,5.50%,15.90%,21.00%,13.10%,0.00%,1.30%,1.20%,0.90%,0.80%,1.20%,0.00%,0.00%,3.60%,1.30%,71.10%,85.40%,56.40%,76.80%,73.00%,0.88,85.40%,97.40%,76.80%,86.30%,0.361,50.00%,33.30%,48.20%,41.60%,40%,4%,21%,0.22,8%,0%,<1%,0.5,26%,10%,2%,1%,7%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NJ,"Millburn, Essex County, New Jersey, United States","(40.7244443, -74.3069069, 0.0)",40.7244443,-74.3069069
262,"COOPER INSTITUTE FOR REPRODUCTIVE HORMONAL DISORDERS, PC",,MOUNT LAUREL,NEW JERSEY,"Jerome H. Check, MD, PhD",98,75,93,143,0.337,25.30%,20.40%,4.90%,0.255,22.70%,16.10%,4.20%,89,67,77,123,37.10%,28.40%,24.70%,5.70%,28.10%,25.40%,19.50%,4.90%,97,58,68,102,34.00%,32.80%,27.90%,6.90%,25.80%,29.30%,22.10%,5.90%,3,3.9,4.9,20.4,38.90%,37.50%,20.00%,6.30%,48.10%,37.50%,30.00%,6.30%,50.00%,43.80%,33.30%,9.40%,1.3,1.6,1.5,1.8,1.1,0.9,0.7,0.8,*,6,38,6,* / *,* / 6,28.90%,* / 6,* / *,* / 6,26.30%,* / 6,168,126,128,188,610,4.40%,14.90%,12.50%,21.10%,13.20%,31.10%,26.10%,29.70%,28.40%,29.00%,1.80%,2.40%,0.80%,0.00%,1.10%,1.10%,2.60%,1.40%,4.50%,2.50%,61.30%,54.50%,38.40%,64.90%,56.20%,0.452,46.80%,32.90%,28.80%,37.90%,0.075,7.80%,9.60%,3.60%,6.80%,27%,6%,22%,0.1,3%,6%,<1%,0.45,10%,2%,11%,1%,7%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NJ,"Mount Laurel, Mount Laurel Township, Burlington County, New Jersey, 08053-5510, United States","(39.934002, -74.8909988, 0.0)",39.934002,-74.8909988
263,FERTILITY INSTITUTE OF NEW JERSEY AND NEW YORK,,ORADELL,NEW JERSEY,"Zalman Levine, MD",77,42,58,55,0.74,47.60%,31.00%,5.50%,0.649,42.90%,31.00%,5.50%,74,38,52,49,77.00%,52.60%,34.60%,6.10%,67.60%,47.40%,34.60%,6.10%,81,34,39,18,70.40%,58.80%,46.20%,* / 18,61.70%,52.90%,46.20%,* / 18,1.4,2.1,3.2,18.3,76.90%,54.50%,25.70%,0.00%,83.10%,59.10%,42.90%,3.70%,83.10%,59.10%,45.70%,3.70%,1.1,1.1,1.4,1.3,1.1,0.9,0.7,0.2,0,0,32,0,,,56.30%,,,,40.60%,,171,98,83,93,445,4.90%,8.30%,7.00%,12.50%,7.90%,6.60%,5.30%,11.30%,17.40%,9.40%,4.70%,4.10%,3.60%,0.00%,3.40%,2.20%,0.00%,0.00%,4.90%,1.80%,95.50%,92.30%,86.40%,85.40%,91.20%,0.91,86.50%,88.60%,78.00%,87.20%,0.663,69.20%,45.50%,63.40%,62.40%,44%,8%,18%,0.33,25%,1%,<1%,0.59,39%,9%,51%,<1%,1%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NJ,"Oradell, Bergen County, New Jersey, 07649, United States","(40.9543943, -74.0308504, 0.0)",40.9543943,-74.0308504
264,VALLEY HOSPITAL FERTILITY CENTER,,PARAMUS,NEW JERSEY,"Ali Nasseri, MD, PhD",68,53,78,62,0.471,32.10%,15.40%,8.10%,0.397,24.50%,14.10%,8.10%,63,48,61,53,50.80%,35.40%,19.70%,9.40%,42.90%,27.10%,18.00%,9.40%,60,34,36,19,53.30%,50.00%,33.30%,19-May,45.00%,38.20%,30.60%,19-May,2.1,3.1,6.5,12.4,47.60%,39.30%,12.50%,4.00%,52.40%,46.40%,18.80%,8.00%,52.40%,50.00%,21.90%,8.00%,1.2,1.3,1.5,1.7,0.9,0.7,0.6,0.3,*,8,12,*,* / *,* / 8,12-Jun,* / *,* / *,* / 8,12-Jun,* / *,154,135,132,98,519,4.90%,21.00%,9.50%,25.70%,15.00%,8.70%,8.50%,13.60%,17.50%,11.40%,5.80%,3.70%,2.30%,5.10%,4.20%,3.70%,4.30%,1.60%,11.10%,4.40%,79.00%,72.90%,76.20%,63.90%,74.40%,0.469,45.70%,34.90%,25.00%,40.40%,0.679,60.00%,65.10%,58.30%,63.60%,30%,5%,18%,0.16,7%,10%,1%,0.27,43%,4%,17%,2%,12%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NJ,"Paramus, Bergen County, New Jersey, United States","(40.9452911, -74.0735899, 0.0)",40.9452911,-74.0735899
265,DAMIEN FERTILITY PARTNERS,,SHREWSBURY,NEW JERSEY,"Miguel Damien, MD",104,70,54,54,0.529,31.40%,11.10%,3.70%,0.452,28.60%,11.10%,3.70%,104,66,47,48,52.90%,33.30%,12.80%,4.20%,45.20%,30.30%,12.80%,4.20%,112,59,30,26,49.10%,37.30%,20.00%,7.70%,42.00%,33.90%,20.00%,7.70%,1.9,3.2,9,27,57.50%,35.10%,7.70%,0.00%,64.40%,37.80%,7.70%,0.00%,64.40%,43.20%,7.70%,0.00%,1.2,1.4,1.3,1.4,1.1,0.9,0.6,0.4,*,21,20,7,* / *,28.60%,35.00%,* / 7,* / *,23.80%,35.00%,* / 7,197,103,105,120,525,2.90%,3.40%,6.00%,5.90%,4.40%,8.20%,6.90%,14.90%,23.30%,12.70%,1.50%,2.90%,4.80%,2.50%,2.70%,0.00%,0.00%,0.00%,2.90%,0.60%,63.80%,68.30%,60.00%,50.00%,61.20%,0.589,68.30%,60.00%,57.40%,60.60%,0.362,36.50%,41.80%,13.20%,32.40%,32%,19%,12%,0.06,6%,5%,<1%,0.17,23%,2%,34%,1%,9%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NJ,"Shrewsbury, Monmouth County, New Jersey, 07702, United States","(40.3295547, -74.0615285, 0.0)",40.3295547,-74.0615285
266,CENTER FOR REPRODUCTIVE MEDICINE AND FERTILITY,"LOUIS R. MANARA, DO",VOORHEES,NEW JERSEY,"Louis R. Manara, DO",40,25,38,22,0.4,56.00%,23.70%,0.00%,0.4,44.00%,21.10%,0.00%,38,23,35,15,42.10%,60.90%,25.70%,0 / 15,42.10%,47.80%,22.90%,0 / 15,50,34,31,12,32.00%,41.20%,29.00%,0 / 12,32.00%,32.40%,25.80%,0 / 12,2.5,1.8,4.2,,37.90%,16-Aug,16-Jul,0 / 6,44.80%,16-Sep,16-Aug,0 / 6,48.30%,16-Sep,16-Sep,0 / 6,1.2,1.2,1.9,2.5,1.3,1.4,0.9,0.5,*,0,11,0,* / *,,11-May,,* / *,,11-May,,82,63,59,28,232,5.40%,10.00%,9.70%,* / 14,8.90%,3.80%,8.30%,3.60%,7.70%,5.40%,1.20%,0.00%,0.00%,0.00%,0.40%,0.00%,0.00%,2.40%,* / 18,1.40%,89.60%,82.10%,68.30%,14 / 18,80.10%,0.896,82.10%,90.20%,17 / 18,88.40%,0.021,2.60%,12.20%,* / 18,6.20%,27%,3%,9%,0.19,<1%,4%,0%,0.18,28%,3%,12%,1%,20%,Yes,No,Yes,Yes,Yes,Yes,Yes,0,NJ,"Voorhees Township, Camden County, New Jersey, United States","(39.8512162, -74.9619779, 0.0)",39.8512162,-74.9619779
267,"CAPERTON FERTILITY INSTITUTE, LLC",,ALBUQUERQUE,NEW MEXICO,"Charles L. Caperton, MD",90,54,37,30,0.389,27.80%,18.90%,0.00%,0.367,27.80%,13.50%,0.00%,85,50,29,27,41.20%,30.00%,24.10%,0.00%,38.80%,30.00%,17.20%,0.00%,61,22,11,*,57.40%,68.20%,11-Jul,0 / *,54.10%,68.20%,11-May,0 / *,2.6,3.6,5.3,,43.30%,20.70%,* / 19,0 / 9,46.30%,27.60%,* / 19,0 / 9,49.30%,31.00%,* / 19,0 / 9,1.3,1.4,1.5,1.2,0.7,0.3,0.2,0,0,0,35,*,,,51.40%,* / *,,,48.60%,* / *,183,69,51,51,354,6.60%,5.60%,2.90%,0.00%,4.90%,5.60%,11.90%,12.00%,7.80%,8.10%,2.20%,5.80%,2.00%,2.00%,2.80%,0.00%,0.00%,0 / 17,19.20%,3.10%,100.00%,100.00%,17 / 17,100.00%,100.00%,0.966,96.30%,16 / 17,96.20%,96.20%,0.989,100.00%,16 / 17,100.00%,98.70%,18%,42%,12%,0.22,21%,4%,1%,0.26,52%,8%,3%,6%,1%,Yes,Yes,Yes,Yes,Yes,No,Yes,0,NM,"Albuquerque, Bernalillo County, New Mexico, United States","(35.0841034, -106.650985, 0.0)",35.0841034,-106.650985
268,"THE FERTILITY CENTER OF NEW MEXICO, LLC",,ALBUQUERQUE,NEW MEXICO,"Douglas J. Thompson, MD",39,30,18,18,0.487,36.70%,* / 18,0 / 18,0.487,33.30%,* / 18,0 / 18,35,27,14,15,54.30%,40.70%,* / 14,0 / 15,54.30%,37.00%,* / 14,0 / 15,29,18,8,*,65.50%,18-Nov,* / 8,0 / *,65.50%,18-Oct,* / 8,0 / *,2.1,2.7,4.5,,53.10%,39.10%,* / 10,0 / 9,56.30%,39.10%,* / 10,0 / 9,56.30%,39.10%,* / 10,0 / 9,1.2,1.1,1.2,1.2,0.8,0.6,0.3,0,0,*,*,6,,* / *,* / *,* / 6,,* / *,* / *,* / 6,87,44,41,31,203,5.00%,9.50%,8.70%,* / 14,7.10%,2.40%,0.00%,5.10%,13.30%,4.10%,0.00%,4.50%,2.40%,0.00%,1.50%,2.10%,0.00%,0 / 18,* / 17,1.90%,100.00%,95.80%,18 / 18,15 / 17,97.20%,0.957,95.80%,15 / 18,17-Oct,87.70%,0.957,100.00%,16 / 18,17-Jul,86.80%,61%,4%,15%,0.14,19%,82%,0%,0.15,45%,<1%,85%,2%,8%,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,NM,"Albuquerque, Bernalillo County, New Mexico, United States","(35.0841034, -106.650985, 0.0)",35.0841034,-106.650985
